dog,sex,type_sti,group,trial,sequence,spp_sti,sex_sti,side_con,time_le,time_ri,val_con,matching,condit,index,control,positive,negative,valence
8,male,plain,HG,18,81,dog,male,right,7,0,positive,0,test,-0.28,0.28,0,7,-0.28
8,male,plain,HG,19,82,dog,male,,0,25,control,,control,,-0.961538462,0,25,-0.961538462
8,male,plain,HG,20,83,dog,female,right,7,0,positive,0,test,-0.269230769,0.269230769,0,7,-0.269230769
10,female,plain,DG,3,85,dog,female,right,0,24,negative,1,test,0.96,-0.96,0,24,-0.96
10,female,plain,DG,5,86,dog,male,left,3,0,negative,1,test,0.12,0.12,0,3,-0.12
10,female,plain,DG,7,88,dog,male,left,14,9,positive,1,test,0.192307692,0.192307692,14,9,0.192307692
10,female,plain,DG,8,89,dog,female,right,14,6,positive,0,test,-0.380952381,0.380952381,6,14,-0.380952381
10,female,plain,DG,9,90,dog,male,right,13,11,negative,0,test,-0.076923077,0.076923077,13,11,0.076923077
10,female,plain,DG,10,91,dog,female,left,9,17,negative,0,test,-0.307692308,-0.307692308,17,9,0.307692308
10,female,plain,DG,11,92,human,male,left,15,8,negative,1,test,0.291667,0.291667,8,15,-0.291667
10,female,plain,DG,12,93,human,female,right,15,7,negative,0,test,-0.347826087,0.347826087,15,7,0.347826087
10,female,plain,DG,13,94,human,female,,9,10,control,,control,,-0.04,9,10,-0.04
10,female,plain,DG,14,95,human,male,right,7,14,negative,1,test,0.28,-0.28,7,14,-0.28
10,female,plain,DG,15,96,human,female,left,0,17,positive,0,test,-0.944444444,-0.944444444,0,17,-0.944444444
10,female,plain,DG,16,97,human,male,right,23,1,positive,0,test,-0.846153846,0.846153846,1,23,-0.846153846
10,female,plain,DG,17,98,human,male,,9,11,control,,control,,-0.095238095,9,11,-0.095238095
10,female,plain,DG,18,99,human,female,right,2,6,positive,1,test,0.181818182,-0.181818182,6,2,0.181818182
10,female,plain,DG,19,100,human,female,left,12,5,negative,1,test,0.333333333,0.333333333,5,12,-0.333333333
10,female,plain,DG,20,101,human,male,left,10,11,positive,0,test,-0.038461538,-0.038461538,10,11,-0.038461538
11,male,plain,DG,1,102,dog,male,left,18,2,positive,1,test,0.761904762,0.761904762,18,2,0.761904762
11,male,plain,DG,2,103,dog,female,right,0,17,positive,1,test,1,-1,17,0,1
11,male,plain,DG,3,104,dog,female,right,3,18,negative,1,test,0.681818182,-0.681818182,3,18,-0.681818182
11,male,plain,DG,4,105,dog,male,,7,6,control,,control,,0.076923077,6,7,-0.076923077
11,male,plain,DG,5,106,dog,female,left,2,16,negative,0,test,-0.777777778,-0.777777778,16,2,0.777777778
11,male,plain,DG,8,107,dog,female,,0,9,control,,control,,-0.36,9,0,0.36
11,male,plain,DG,9,108,dog,male,left,0,6,negative,0,test,-0.461538462,-0.461538462,6,0,0.461538462
13,female,mirrored,HG,2,109,human,male,right,14,2,negative,0,test,-0.461538462,0.461538462,14,2,0.461538462
13,female,mirrored,HG,4,111,human,male,left,0,25,positive,0,test,-1,-1,0,25,-1
13,female,mirrored,HG,6,113,human,male,,5,5,control,,control,,0,5,5,0
13,female,mirrored,HG,7,114,human,male,left,15,4,negative,1,test,0.523809524,0.523809524,4,15,-0.523809524
13,female,mirrored,HG,9,115,human,female,,0,0,control,,control,,#DIV/0!,0,0,#DIV/0!
13,female,mirrored,HG,10,116,human,male,right,6,9,positive,1,test,0.2,-0.2,9,6,0.2
13,female,mirrored,HG,11,117,dog,female,right,0,2,positive,1,test,0.076923077,-0.076923077,2,0,0.076923077
13,female,mirrored,HG,13,119,dog,male,right,5,17,negative,1,test,0.545454545,-0.545454545,5,17,-0.545454545
13,female,mirrored,HG,14,120,dog,female,right,0,10,negative,1,test,0.588235294,-0.588235294,0,10,-0.588235294
13,female,mirrored,HG,15,121,dog,male,,5,5,control,,control,,0,5,5,0
13,female,mirrored,HG,16,122,dog,female,,4,0,control,,control,,0.666666667,0,4,-0.666666667
13,female,mirrored,HG,17,123,dog,male,right,10,11,positive,1,test,0.045454545,-0.045454545,11,10,0.045454545
13,female,mirrored,HG,18,124,dog,female,left,4,2,negative,1,test,0.083333333,0.083333333,2,4,-0.083333333
13,female,mirrored,HG,20,125,dog,female,left,0,3,positive,0,test,-0.115384615,-0.115384615,0,3,-0.115384615
14,female,plain,HG,1,126,human,female,right,5,15,positive,1,test,0.5,-0.5,15,5,0.5
14,female,plain,HG,2,127,human,male,left,12,6,positive,1,test,0.333333333,0.333333333,12,6,0.333333333
14,female,plain,HG,3,128,human,male,,5,2,control,,control,,0.428571429,5,2,0.428571429
14,female,plain,HG,6,129,human,male,left,12,6,negative,1,test,0.333333333,0.333333333,6,12,-0.333333333
14,female,plain,HG,8,131,human,male,right,1,9,positive,1,test,0.727272727,-0.727272727,9,1,0.727272727
14,female,plain,HG,9,132,human,male,right,6,5,negative,0,test,-0.0625,0.0625,6,5,0.0625
14,female,plain,HG,11,133,dog,female,right,22,3,negative,0,test,-0.76,0.76,22,3,0.76
14,female,plain,HG,12,134,dog,male,left,4,4,negative,0,test,0,0,4,4,0
14,female,plain,HG,14,136,dog,female,left,11,13,positive,0,test,-0.08,-0.08,11,13,-0.08
14,female,plain,HG,15,137,dog,female,left,11,3,negative,1,test,0.571428571,0.571428571,3,11,-0.571428571
14,female,plain,HG,19,138,dog,male,right,4,12,negative,1,test,0.363636364,-0.363636364,4,12,-0.363636364
14,female,plain,HG,20,139,dog,female,,4,8,control,,control,,-0.285714286,4,8,-0.285714286
15,male,plain,HG,1,140,human,female,,6,5,control,,control,,0.071428571,5,6,-0.071428571
15,male,plain,HG,2,141,human,male,left,13,0,positive,1,test,0.5,0.5,13,0,0.5
15,male,plain,HG,3,142,human,female,right,4,12,positive,1,test,0.4,-0.4,12,4,0.4
15,male,plain,HG,4,143,human,male,left,18,1,negative,1,test,0.894736842,0.894736842,1,18,-0.894736842
15,male,plain,HG,5,144,human,male,right,6,13,positive,1,test,0.304347826,-0.304347826,13,6,0.304347826
15,male,plain,HG,6,145,human,female,right,0,10,negative,1,test,0.588235294,-0.588235294,0,10,-0.588235294
15,male,plain,HG,7,146,human,female,left,6,0,positive,1,test,0.461538462,0.461538462,6,0,0.461538462
15,male,plain,HG,8,147,human,male,right,10,0,negative,0,test,-0.666666667,0.666666667,10,0,0.666666667
15,male,plain,HG,9,148,human,female,left,3,11,negative,0,test,-0.533333333,-0.533333333,11,3,0.533333333
15,male,plain,HG,10,149,human,male,,0,0,control,,control,,#DIV/0!,0,0,#DIV/0!
15,male,plain,HG,11,150,dog,male,left,19,0,positive,1,test,0.730769231,0.730769231,19,0,0.730769231
15,male,plain,HG,12,151,dog,female,,3,6,control,,control,,-0.3,6,3,0.3
15,male,plain,HG,13,152,dog,male,,0,3,control,,control,,-0.142857143,3,0,0.142857143
